(blank),0,,,,,,,,,,,,
,,,,,,,,,,,,,
Victor,2,,,,,,,,,,,,
21007,Sun,"Oct 6, 2013",,request late afternoon,Victor,, Burlingame SC Freedom, vs., Red Star SA 04G Red,Under 9 Girls - White,NorCal State Cup(s): U9-U10,,
4113,Sun,"Oct 6, 2013",,request early afternoon,Victor,, GSC Gryphons 04G White, vs., Red Star SA 04G Red,U9 Girls Silver,Region 2 League,,
Matt,2,,,,,,,,,,,,
20023,Sun,"Oct 6, 2013",,request morning,Matt,, Santa Cruz FC Rev 01B, vs., Red Star SA 01B Red,U12B - Premier - Region 2,League U11-U13 FALL,,
3221,Sun,"Oct 6, 2013",5pm,,Matt,Slater Big, Red Star SA 03B Red, vs., PSA 03B Storm Black,U10 Boys Silver,Region 2 League,,
Terry,3,,,,,,,,,,,,
30023,Sun,"Oct 6, 2013",4pm,,Terry,Grant, Red Star SA 00B Red, vs., ECRFC Salinas Galaxy,U13B - Premier - Region 2,League U11-U13 FALL,,
2317,Sun,"Oct 6, 2013",,request late morning,Terry,, Palo Alto Soccer Club 05 Boys Red, vs., Red Star SA 04B Green,U9 Boys Bronze 2 - North,Region 2 League,,
3323,Sun,"Oct 6, 2013",8am,,Terry,Slater Big, Red Star SA 03B White, vs., Force 03B Royal,U10 Boys Bronze 1,Region 2 League,,
Adriano - Victor,1,,,,,,,,,,,,
11123,Sun,"Oct 6, 2013",12pm,,Adriano - Victor,Slater Big, Red Star SA 02B Black, vs., Red Star SA 02B White,U11B - Silver 2 - Region 2 North,League U11-U13 FALL,,
Cleber,2,,,,,,,,,,,,
40913,Sun,"Oct 6, 2013",,,Cleber,, Red Star SA 02G Red, vs., Evergreen United Earthquakes 02G Blue,U11G - Silver 1 - Region 2,League U11-U13 FALL,,
21222,Sun,"Oct 6, 2013",9:00 AM,,Cleber,, Alpine Strikers FC 01B Red, vs., Red Star SA 01B White,U12B - Silver 2 - Region 2,League U11-U13 FALL,,
Ryan,3,,,,,,,,,,,,
30921,Sun,"Oct 6, 2013",,request afternoon,Ryan,, Almaden FC Mercury Green 00, vs., Red Star SA 00B White,U13B - Silver 1 - Region 2,League U11-U13 FALL,,
1222,Sun,"Oct 6, 2013",9:15 AM,,Ryan,Slater small, Red Star SA 05B White, vs., Mountain View / Los Altos SC 06B Blue,U8 Boys Bronze - North,Region 2 League,,
4223,Sun,"Oct 6, 2013",10:30 AM,,Ryan,Slater small, Red Star SA 04G White, vs., GSC Gryphons 04G Blue,U9 Girls Bronze,Region 2 League,,
Yannick,4,,,,,,,,,,,,
1017,Sun,"Oct 6, 2013",5pm,,Yannick,Slater small, Red Star SA 05B Red, vs., SMC Star 05B Gold,U8 Boys Gold,Region 2 League,,
2221,Sun,"Oct 6, 2013",3:45 PM,,Yannick,Slater small, Red Star SA 04B White, vs., Palo Alto Soccer Club 05B White,U9 Boys Bronze 1,Region 2 League,,
5122,Sun,"Oct 6, 2013",2:30 PM,,Yannick,Slater Big, Red Star SA 03G Red, vs., Barcelona Bay Area Black 03G,U10 Girls Silver,Region 2 League,,
41019,Sun,"Oct 6, 2013",11:15 AM,,Yannick,Chaboya Middle School Field 2, Evergreen United Herricanes 02G Black, vs., Red Star SA 02G White,U11G - Silver 2 - Region 2,League U11-U13 FALL,,
Michael,2,,,,,,,,,,,,
2222,Sun,"Oct 6, 2013",,request morning,Michael,, PSA Storm 04B Black, vs., Red Star SA 04B Black,U9 Boys Bronze 1,Region 2 League,,
3515,Sun,"Oct 6, 2013",9:15 AM,,Michael,Slater Big, Red Star SA 03B Green, vs., Force 03 Boys White,U10 Boys Bronze 3,Region 2 League,,
Adriano,1,,,,,,,,,,,,
10524,Sun,"Oct 6, 2013",10:30 AM,,Adriano,Slater Big, Red Star SA 02B Red, vs., SMC Star 02B Gold,U11B - Gold - Region 2,League U11-U13 FALL,,
